Cod;Descrição;Qtde;Grupo;Cor;DT_COMP;VL_COMP;VL_UNIT;PORC_VEN;VL_LUCRO;VL_VEND_UNI;VL_VEND_TOT;Vendeu;DT_VENDA;QTD_VEND
42;Apontador Bruxinha;1;Apontador;Mista;14/11/2023; R$5,00 ; R$5,00 ;80; R$4,00 ; R$9,00 ; R$9,00 ;;;
43;Apontador Batata Frita;1;Apontador;Mista;14/11/2023; R$5,00 ; R$5,00 ;80; R$4,00 ; R$9,00 ; R$9,00 ;;;
44;Apontador Hamburguer;1;Apontador;Mista;14/11/2023; R$5,00 ; R$5,00 ;80; R$4,00 ; R$9,00 ; R$9,00 ;;;
45;Estilete Patinha;1;Estiletes;Azul;14/11/2023; R$10,00 ; R$10,00 ;50; R$5,00 ; R$15,00 ; R$15,00 ;;;
46;Caixa de Lapis de Cor Infinito;1;Lápis;Mista;14/11/2023; R$30,00 ; R$30,00 ;60; R$18,00 ; R$48,00 ; R$48,00 ;;;
47;Canetas Apagavel;12;Canetas;Mista;14/11/2023; R$24,00 ; R$2,00 ;150; R$3,00 ; R$5,00 ; R$60,00 ;;;
48;Canetas Apagavel Bruxinha;12;Canetas;Mista;14/11/2023; R$24,00 ; R$2,00 ;150; R$3,00 ; R$5,00 ; R$60,00 ;;;
49;Canetas Apagavel Menino;12;Canetas;Mista;14/11/2023; R$24,00 ; R$2,00 ;150; R$3,00 ; R$5,00 ; R$60,00 ;;;
50;Canetas Apagavel Azul;12;Canetas;Azul;14/11/2023; R$24,00 ; R$2,00 ;150; R$3,00 ; R$5,00 ; R$60,00 ;;;
51;Canetas 6 Cores Hamburguer;6;Canetas;Mista;14/11/2023; R$30,00 ; R$5,00 ;100; R$5,00 ; R$10,00 ; R$60,00 ;;;
52;Lapis Infinito;6;Lápis;Mista;14/11/2023; R$30,00 ; R$5,00 ;100; R$5,00 ; R$10,00 ; R$60,00 ;;;
53;Caderno Astronauta 3D;2;Cadernos;Azul;14/11/2023; R$20,00 ; R$10,00 ;50; R$5,00 ; R$15,00 ; R$30,00 ;;;
54;Caderno Unicornio 3D;2;Cadernos;Azul;14/11/2023; R$20,00 ; R$10,00 ;50; R$5,00 ; R$15,00 ; R$30,00 ;;;
55;Bloquinho Unicornio;2;Bloco Papel;Mista;14/11/2023; R$10,00 ; R$5,00 ;100; R$5,00 ; R$10,00 ; R$20,00 ;;;
56;Bloquinho Astronauta;2;Bloco Papel;Mista;14/11/2023; R$10,00 ; R$5,00 ;100; R$5,00 ; R$10,00 ; R$20,00 ;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;#DIV/0!;;;;
